ID_SA,NAME_SA,COUNTRY_SA,THEME_SA,CLASSIFICATION_SA,imageUrl
1,方坤祺,基隆市,魔術表演,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F451/e7934d11-505d-4735-92d2-74aed29014d2.JPG
2,王建雄,基隆市,吉他自彈自唱,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F452/45009b85-dcac-45d6-9092-ca497be074f4.JPG
3,朱崇能,基隆市,草編、紙藝、童玩,創意工藝,
4,王盛昌,基隆市,烤漆噴畫,視覺藝術,
5,邱淑君,基隆市,民俗鄉土藝術,創意工藝,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F455/5afe835e-5820-4b30-bf57-ccdcb95bcfb5.jpg
6,朱庭慧,基隆市,古箏演奏,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F456/7e12f446-0a29-486d-bee7-249f33f492fa.JPG
7,邱藍月娥,基隆市,水晶珠串裝飾,創意工藝,
8,翁蘭香,基隆市,編織吸管、童玩,創意工藝,
9,余至寬,基隆市,吉他自彈自唱,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F459/171bd5e3-4915-42e6-9523-e6e852ecd024.JPG
10,張坤泰,基隆市,烙鐵板畫及板書,創意工藝,
11,吳坤炤,基隆市,吉他自彈自唱,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F461/1c5515c5-c839-4229-a788-eef9596f500d.jpg
12,吳昆育,基隆市,電鋼琴演奏,表演藝術,
13,張武興,基隆市,草編、紙藝、吸管工藝,創意工藝,
14,吳旻鴻,基隆市,吉他自彈唱,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F464/de52f4f1-a84f-4bbb-af17-adf687aae7a2.JPG
15,張惟勝,基隆市,篆刻、手工藝、書法,創意工藝,
16,陳素娟,基隆市,串珠、壓花,創意工藝,
17,鄒幸泰,基隆市,剪側影,創意工藝,
18,吳冠達,基隆市,魔術,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F468/396bd591-fb38-4710-a654-13d7d726b399.jpg
19,吳鴻寶,基隆市,Q版人像,視覺藝術,
20,劉鳳珠,基隆市,超輕粘土創作,創意工藝,
21,呂珠季,基隆市,電子琴演奏,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F471/3d8faed4-5d37-41c9-82ac-f67e72a124d6.jpg
22,宋俋蓁,基隆市,麥克筆人像素寫,視覺藝術,
23,李素梅,基隆市,人像繪畫,視覺藝術,
24,嚴柯秀蘭,基隆市,籐編、童玩、紙藝,創意工藝,
25,李新孔,基隆市,吉他＋口琴彈唱,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F475/55f5fbcd-78d0-4522-bfee-a66ed9415f71.JPG
26,白吉平,基隆市,捏麵人,創意工藝,
27,汪進發,基隆市,鋸琴演奏,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F477/c25b265e-3bd3-45a5-9de9-1996d0ae14c8.jpg
28,周松村,基隆市,尺八演奏,表演藝術,
29,呂佳婉,基隆市,彩繪,創意工藝,
30,李碧霞,基隆市,氣球藝術,創意工藝,
31,林怡汝,基隆市,吉他自彈唱,表演藝術,
32,沈麗娟,基隆市,童玩工藝.緞帶編,創意工藝,
33,林瑞豐,基隆市,佛朗明歌吉他演奏,表演藝術,
34,唐月娥,基隆市,紙藝(貼畫.紙拉胚),創意工藝,
35,張淑惠,基隆市,串珠,創意工藝,
36,張惠珠,基隆市,童玩.中國結.串珠.紙藝,創意工藝,
37,金有澤,基隆市,街頭寵物Q版畫,視覺藝術,
38,倪珩均,基隆市,笛蕭演奏,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F488/0af0f35e-afd2-4817-ba3b-d7a57af4a6cf.jpg
39,凌永明,基隆市,薩克斯風演奏,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F489/8cf3a37f-f980-4b45-b3f9-d78537db7aa2.JPG
40,梁建鎮,基隆市,捏麵人,創意工藝,
41,孫慧明,基隆市,人像速寫.素描,視覺藝術,
42,徐威任,基隆市,魔術,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F492/497bdd37-5ea0-448c-ae78-fb6ede111e48.JPG
43,徐嘉陽,基隆市,電鋼琴演奏,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F493/acb9b378-9cd1-46a8-9c60-6f71b16947da.jpg
44,徐榮煌,基隆市,鋸琴演奏,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F494/ae309569-e0b8-470f-adab-b368884a6a8f.JPG
45,高瑞成,基隆市,歌唱,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F495/2ac6c9e4-ca4f-4865-8513-da22e4689381.JPG
46,高萱,基隆市,美術素描,視覺藝術,
47,高寧翎,基隆市,油畫、人像素描,視覺藝術,
48,陳淑娟,基隆市,童玩.吸管編,創意工藝,
49,張正德,基隆市,舞蹈,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F499/a39ef279-0b08-42fa-b410-8f989203cb5c.JPG
50,陳琇玲,基隆市,草編.吸管編,創意工藝,
51,鄧惠萍,基隆市,串珠,創意工藝,
52,謝孟儒,基隆市,捏麵人,創意工藝,
53,謝淑鑾,基隆市,捏麵人,創意工藝,
54,張朝霖,基隆市,電子琴演奏,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F504/2226194c-581c-4d1b-a1bc-19cb73a17454.jpg
55,王敏昌,基隆市,認識米雕、親近捏麵人,創意工藝,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F505/bcd8abd4-3f2d-4408-86ed-ae6f49cd255f.JPG
56,江雪華,基隆市,吸管製作,創意工藝,
57,莊晴茹,基隆市,小喇叭,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F507/e154419b-34ec-42fa-805c-4546407e38bc.jpg
58,許志輝,基隆市,電子琴演奏,表演藝術,
59,許翔雲,基隆市,電子琴伴奏演唱,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F509/e48ec7a7-0401-4e53-af7b-046f0f4b81b8.jpg
60,梁世超,基隆市,創意造型氣球,創意工藝,
61,許榮峰,基隆市,英文歌演奏演唱,表演藝術,
62,陳上惠,基隆市,鋸琴、南胡、演奏,表演藝術,
63,陳文成,基隆市,花鳥字劃,視覺藝術,
64,陳文波,基隆市,造形氣球,創意工藝,
65,劉桃妹,基隆市,撕字、剪囍字,創意工藝,
66,陳永達,基隆市,二胡演奏,表演藝術,
67,陳志文,基隆市,演奏或歌唱,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F517/6561788b-8e6e-4e22-a418-bf20fd1c83a0.JPG
68,陳明俊,基隆市,薩克斯風演奏,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F518/eeb298ed-25c7-417b-8372-a25056890e5d.JPG
69,陳南,基隆市,吉他演唱,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F519/87511723-99e3-4b5e-a061-59fc3b3c6f22.JPG
70,陳哲明,基隆市,薩克斯風演奏,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F520/21722b02-d784-4202-82bf-b9fdca589e05.jpg
71,陳振福,基隆市,雕剪人像,視覺藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F521/e23b7aee-7f89-4886-8b6c-bade8224ec82.jpg
72,陳基生,基隆市,陶笛演奏,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F522/494600b8-23b8-4b48-a01b-fa8fdc1087b8.jpg
73,陳敏樂,基隆市,魔術,表演藝術,
74,鄧嘉銘,基隆市,情鋁創意折字,創意工藝,
75,蕭語中,基隆市,造型汽球,創意工藝,
76,陳雪瓊,基隆市,日本表演歌謠上踊美展,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F526/1c88a2a0-a248-41df-9f65-f0df74cabc8a.JPG
77,賴威成,基隆市,現場手工編織創作,創意工藝,
78,陳耀坤,基隆市,繪畫,視覺藝術,
79,曾信義,基隆市,薩克斯風演奏,表演藝術,
80,嚴孫玲,基隆市,鋁罐手工椅,創意工藝,
81,游欣欣,基隆市,人像素描,視覺藝術,
82,余麗慧,基隆市,童玩(紙藝),創意工藝,
83,黃一修,基隆市,電子琴自彈自唱,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F533/86892d70-43f3-4e17-bc29-7b15f221034e.JPG
84,黃明正,基隆市,馬戲寓言體,表演藝術,
85,黃淑惠,基隆市,人像繪畫,視覺藝術,
86,黃靜香,基隆市,自彈自唱,表演藝術,https://cloud.culture.tw/h_upload_ccacloud/performer/pic/A0/B0/C0/D0/E7/F536/889781e6-a0d1-42ac-b3b9-5145a3e686d0.JPG
