ID,縣市,鄉鎮市區,村里,門牌,二級發布區,一級發布區,最小統計區,比對代碼,X坐標,Y坐標,坐標系統 
1,臺北市,中山南,,路21-1號，愛國東路側,,,,門牌比對失敗或格式有誤,,,
2,臺北市,中正區,龍福里,南昌路一段一號,A6305-21,A6305-21-001,A6305-0318-00,AL0-F2-0-2020M07,121.5157888,25.03342246,EPSG:4326
3,臺北市,松山區,復盛里,市民大道五段99號4樓,A6301-63,A6301-63-006,A6301-0730-00,AL0-F2-0-2020M07,121.5614892,25.04787578,EPSG:4326
4,臺北市,大安區,民炤里,新生南路一段161巷35-1號2樓,A6303-35,A6303-35-005,A6303-0393-00,AL0-F2-0-2020M07,121.5367326,25.03464263,EPSG:4326
5,臺北市,中正區,黎明里,青島西路7號7樓,A6305-02,A6305-02-005,A6305-0039-00,AL0-F2-0-2020M07,121.5181827,25.04491412,EPSG:4326
6,臺北市,松山區,新聚里,南京東路五段250巷36弄8號1樓,A6301-59,A6301-59-008,A6301-0655-00,AL0-F2-0-2020M07,121.5664727,25.04951054,EPSG:4326
7,宜蘭縣,頭城鎮,港口里,青雲路三段750號,A0204-05,A0204-05-002,A0204-0073-00,AL0-F1-0-2020M07,121.8325497,24.86955112,EPSG:4326
8,宜蘭縣,頭城鎮,港口里,青雲路三段750號,A0204-05,A0204-05-002,A0204-0073-00,AL0-F1-0-2020M07,121.8325497,24.86955112,EPSG:4326
9,宜蘭縣,頭城鎮,港口里,青雲路三段750號,A0204-05,A0204-05-002,A0204-0073-00,AL0-F1-0-2020M07,121.8325497,24.86955112,EPSG:4326
10,宜蘭縣,頭城鎮,港口里,青雲路三段750號,A0204-05,A0204-05-002,A0204-0073-00,AL0-F1-0-2020M07,121.8325497,24.86955112,EPSG:4326
11,基隆市,中正區,砂子里,北寧路367號,A1701-18,A1701-18-004,A1701-0126-00,AL0-F1-0-2020M07,121.7988516,25.14019761,EPSG:4326
12,基隆市,中正區,砂子里,北寧路367號,A1701-18,A1701-18-004,A1701-0126-00,AL0-F1-0-2020M07,121.7988516,25.14019761,EPSG:4326
13,基隆市,中正區,砂子里,北寧路367號,A1701-18,A1701-18-004,A1701-0126-00,AL0-F1-0-2020M07,121.7988516,25.14019761,EPSG:4326
14,基隆市,中正區,砂子里,北寧路367號,A1701-18,A1701-18-004,A1701-0126-00,AL0-F1-0-2020M07,121.7988516,25.14019761,EPSG:4326
15,基隆市,中正區,砂子里,北寧路367號,A1701-18,A1701-18-004,A1701-0126-00,AL0-F1-0-2020M07,121.7988516,25.14019761,EPSG:4326
16,基隆市,中正區,砂子里,北寧路367號,A1701-18,A1701-18-004,A1701-0126-00,AL0-F1-0-2020M07,121.7988516,25.14019761,EPSG:4326
17,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.5159773,25.09598928,EPSG:4326
18,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.5159773,25.09598928,EPSG:4326
19,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.5159773,25.09598928,EPSG:4326
20,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.5159773,25.09598928,EPSG:4326
21,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.5159773,25.09598928,EPSG:4326
22,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.5159773,25.09598928,EPSG:4326
23,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.5159773,25.09598928,EPSG:4326
24,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.5159773,25.09598928,EPSG:4326
25,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.5159773,25.09598928,EPSG:4326
26,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.5159773,25.09598928,EPSG:4326
27,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.5159773,25.09598928,EPSG:4326
28,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.5159773,25.09598928,EPSG:4326
29,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.5159773,25.09598928,EPSG:4326
30,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.5159773,25.09598928,EPSG:4326
