ID,縣市,鄉鎮市區,村里,門牌,二級發布區,一級發布區,最小統計區,比對代碼,X坐標,Y坐標,坐標系統 
1,臺北市,中山南,,路21-1號，愛國東路側,,,,門牌比對失敗或格式有誤,,,
2,臺北市,中正區,龍福里,南昌路一段一號,A6305-21,A6305-21-001,A6305-0318-00,AL0-F2-0-2020M07,121.515788786044,25.0334224596558,EPSG:4326
3,臺北市,松山區,復盛里,市民大道五段99號4樓,A6301-63,A6301-63-006,A6301-0730-00,AL0-F2-0-2020M07,121.561489160247,25.0478757799864,EPSG:4326
4,臺北市,大安區,民炤里,新生南路一段161巷35-1號2樓,A6303-35,A6303-35-005,A6303-0393-00,AL0-F2-0-2020M07,121.536732604341,25.0346426345778,EPSG:4326
5,臺北市,中正區,黎明里,青島西路7號7樓,A6305-02,A6305-02-005,A6305-0039-00,AL0-F2-0-2020M07,121.51818266897,25.0449141215035,EPSG:4326
6,臺北市,松山區,新聚里,南京東路五段250巷36弄8號1樓,A6301-59,A6301-59-008,A6301-0655-00,AL0-F2-0-2020M07,121.566472665139,25.0495105439812,EPSG:4326
7,宜蘭縣,頭城鎮,港口里,青雲路三段750號,A0204-05,A0204-05-002,A0204-0073-00,AL0-F1-0-2020M07,121.832549687938,24.8695511236255,EPSG:4326
8,宜蘭縣,頭城鎮,港口里,青雲路三段750號,A0204-05,A0204-05-002,A0204-0073-00,AL0-F1-0-2020M07,121.832549687938,24.8695511236255,EPSG:4326
9,宜蘭縣,頭城鎮,港口里,青雲路三段750號,A0204-05,A0204-05-002,A0204-0073-00,AL0-F1-0-2020M07,121.832549687938,24.8695511236255,EPSG:4326
10,宜蘭縣,頭城鎮,港口里,青雲路三段750號,A0204-05,A0204-05-002,A0204-0073-00,AL0-F1-0-2020M07,121.832549687938,24.8695511236255,EPSG:4326
11,基隆市,中正區,砂子里,北寧路367號,A1701-18,A1701-18-004,A1701-0126-00,AL0-F1-0-2020M07,121.798851649114,25.1401976065091,EPSG:4326
12,基隆市,中正區,砂子里,北寧路367號,A1701-18,A1701-18-004,A1701-0126-00,AL0-F1-0-2020M07,121.798851649114,25.1401976065091,EPSG:4326
13,基隆市,中正區,砂子里,北寧路367號,A1701-18,A1701-18-004,A1701-0126-00,AL0-F1-0-2020M07,121.798851649114,25.1401976065091,EPSG:4326
14,基隆市,中正區,砂子里,北寧路367號,A1701-18,A1701-18-004,A1701-0126-00,AL0-F1-0-2020M07,121.798851649114,25.1401976065091,EPSG:4326
15,基隆市,中正區,砂子里,北寧路367號,A1701-18,A1701-18-004,A1701-0126-00,AL0-F1-0-2020M07,121.798851649114,25.1401976065091,EPSG:4326
16,基隆市,中正區,砂子里,北寧路367號,A1701-18,A1701-18-004,A1701-0126-00,AL0-F1-0-2020M07,121.798851649114,25.1401976065091,EPSG:4326
17,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.515977341206,25.0959892849798,EPSG:4326
18,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.515977341206,25.0959892849798,EPSG:4326
19,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.515977341206,25.0959892849798,EPSG:4326
20,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.515977341206,25.0959892849798,EPSG:4326
21,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.515977341206,25.0959892849798,EPSG:4326
22,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.515977341206,25.0959892849798,EPSG:4326
23,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.515977341206,25.0959892849798,EPSG:4326
24,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.515977341206,25.0959892849798,EPSG:4326
25,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.515977341206,25.0959892849798,EPSG:4326
26,臺北市,士林區,福佳里,士商路189號,A6311-62,A6311-62-001,A6311-0736-00,AL0-F1-0-2020M07,121.515977341206,25.0959892849798,EPSG:4326
